Name,L3_codes,L4_codes,Established_only_species,Invasive_species,Native_species,Origin,Age_Ma,Maximum_elevation_ft,Human_population,Year_of_modern_colonization,GDP_2017_USD,GDP_per_capita,Distance_to_nearest_landmass_m,Distance_to_nearest_continent_m,Area_m2,Average_human_modification,Latitude_of_centroid,Max_temp_deg_C_BIO5,Min_temp_deg_C_BIO6,Temp_range_deg_C_BIO7,Total_precip_mm_BIO12,Precip_seasonality_BIO15
Madeira,MDR,,624,27,1460,Oceanic,23,6106,250769,1420,5670000000,22610,291517.0311,634966.3897,827433469.5,0.439557791,32.76744048,25.79999924,5.300000191,11.95788097,700.5161133,61.6150589
Fiji,FIJ,,193,166,2470,Oceanic,150,4344,926276,1643,9578000000,10340,278814.4487,2586945.798,9.40E+11,0.166895702,-17.46305033,40.20000076,-13.89999962,20.35472107,1164.798706,92.8129425
Comoros,COM,"COM-MA,COM-CO",3,81,1896,Oceanic,7.7,7746,850886,1503,2653000000,3118,253111.7337,294739.6589,2186824685,0.353216648,-12.08520279,31.79999924,7.199999809,11.82789898,2018.07312,60.67000961
Tonga,TON,,180,95,938,Oceanic,43,3389,104494,1616,651247000,6232,251785.0285,3219839.132,780287732.8,0.267940164,-19.96866634,30.60000038,16.29999924,10.32828045,1995.946167,31.99460793
Hispaniola,"DOM,HAI","HAI-HA,HAI-NI",145,70,6658,Oceanic,45,10417,22278000,1492,2.40E+11,10770,167318.8535,564617.819,76081204932,0.455948889,18.91294999,35.70000076,0.100000001,14.43960762,1407.293213,49.51317596
Cuba,CUB,,197,265,8302,Oceanic,69,6476,11113215,1492,1.37E+11,12328,150474.7797,150474.7797,1.11E+11,0.329739839,21.63520884,33.59999847,8.600000381,14.55747223,1335.762695,60.89079285
Winward Islands,WIN,"WIN-SL,WIN-DO,WIN-MA,WIN-BA,WIN-GR,WIN-SV",447,46,3157,Oceanic,21.5,4747,1115340,1502,21904700000,19639,128798.1867,141167.6042,3825722125,0.513970315,14.09139442,31.89999962,13.80000019,8.902620316,1938.407349,40.39685059
Maldives,MDV,,13,21,323,Oceanic,68,8,515122,1558,9785000000,18996,128575.4215,427728.0222,141397663.1,0.421622634,3.364978023,32.20000076,25.10000038,6.031291485,2166.03418,33.07260513
Taiwan,TAI,,540,68,6914,Oceanic,4.5,12967,23894394,1171,1.14E+12,47835,109823.9483,129878.3127,36327118336,0.418224543,23.74440261,32.40000153,-5.099999905,16.96632767,2545.736084,71.62571716
Canary Islands,CNY,,222,85,2737,Oceanic,23,12188,2172944,1402,46149000000,21238,96821.0295,96821.0295,7548979735,0.374193102,28.34455601,29.89999962,-4.900000095,15.71867943,263.5291748,80.7387085
Netherlands Antilles,NLA,"NLA-CU,NLA-BO",36,12,853,Oceanic,2.58,1220,207498,1499,3715407347,17906,66019.2587,66019.2587,797096863.2,0.401901126,12.18807339,33,22.29999924,8.800008774,539.402771,65.15757751
Bahamas,BAH,,20,33,1799,Oceanic,150,207,400516,1492,12323000000,30768,48117.3725,104423.0274,12870668895,0.100652754,24.1574563,33,15.80000019,14.44503593,1103.961182,53.25936127
Gulf of Guinea Islands,GGI,"GGI-AN,GGI-BI,GGI-PR,GGI-ST",302,2,3109,Oceanic,30,6640,563469,1470,8028023547,14247,37130.7867,37130.7867,3214534176,0.228027001,2.368574812,30.60000038,7.5,9.229162216,2561.834473,57.16077805
Philippines,PHI,,481,63,12231,Oceanic,30,9692,109035343,1521,9.22E+11,8454,36842.016,472802.0921,2.97E+11,0.352164865,11.70141078,36,5.599999905,11.35623646,2525.779297,52.11525726
Aruba,ARU,,26,7,513,Oceanic,2.58,617,106739,1499,4141000000,38796,26995.7885,26995.7885,207651215.7,0.559527814,12.51668673,33.79999924,22.20000076,10.48846912,419.9763489,67.85466003
